timestamp,open,high,low,close,volume
2025-10-01 00:00:00,114048.94,114308.0,114048.93,114156.18,117.94697
2025-10-01 00:15:00,114156.17,114177.93,113966.67,114021.86,120.20758
2025-10-01 00:30:00,114021.85,114231.26,113969.18,113969.19,99.36776
2025-10-01 00:45:00,113969.19,114255.0,113969.18,114239.53,97.06785
2025-10-01 01:00:00,114239.53,114398.97,114142.99,114348.16,149.14275
2025-10-01 01:15:00,114348.16,114429.76,114207.47,114367.72,148.04019
2025-10-01 01:30:00,114367.72,114492.22,114223.43,114413.36,160.68618
2025-10-01 01:45:00,114413.36,114550.0,114360.27,114549.99,139.38448
2025-10-01 02:00:00,114549.99,114551.76,114425.22,114481.09,84.19776
2025-10-01 02:15:00,114481.09,114498.98,114425.22,114427.88,71.37625
2025-10-01 02:30:00,114427.89,114445.99,114307.69,114324.66,161.04399
2025-10-01 02:45:00,114324.66,114390.95,114272.15,114272.15,191.80622
2025-10-01 03:00:00,114272.16,114434.01,114195.42,114434.0,108.06992
2025-10-01 03:15:00,114434.01,114525.96,114340.22,114471.16,159.24579
2025-10-01 03:30:00,114471.16,114530.48,114319.01,114319.02,106.33513
2025-10-01 03:45:00,114319.01,114319.02,114096.58,114176.92,128.65234
2025-10-01 04:00:00,114176.93,114439.8,114151.0,114336.86,87.92525
2025-10-01 04:15:00,114336.86,114587.51,114336.86,114587.5,128.86252
2025-10-01 04:30:00,114587.51,114700.0,114500.0,114550.94,194.76004
2025-10-01 04:45:00,114550.94,114589.0,114262.0,114289.01,186.34547
2025-10-01 05:00:00,114289.02,114740.0,114265.63,114606.03,272.46845
2025-10-01 05:15:00,114606.03,114712.24,114524.9,114612.99,134.86528
2025-10-01 05:30:00,114613.0,114631.79,114536.09,114569.24,59.12371
2025-10-01 05:45:00,114569.25,114640.0,114518.0,114569.84,93.29775
2025-10-01 06:00:00,114569.84,114581.31,114471.48,114558.77,89.62384
2025-10-01 06:15:00,114558.78,114624.3,114307.69,114388.46,128.18337
2025-10-01 06:30:00,114388.47,114540.01,114314.87,114512.88,74.55969
2025-10-01 06:45:00,114512.89,114512.89,114224.88,114256.81,100.15591
2025-10-01 07:00:00,114256.82,114434.52,114236.59,114360.06,69.89993
2025-10-01 07:15:00,114360.05,114580.98,114360.05,114569.08,111.68785
2025-10-01 07:30:00,114569.09,114584.35,114444.92,114537.35,171.89499
2025-10-01 07:45:00,114537.35,114584.34,114491.57,114539.02,92.77959
2025-10-01 08:00:00,114539.02,114595.52,114484.43,114577.85,113.49958
2025-10-01 08:15:00,114577.85,115110.83,114560.0,115089.82,737.07351
2025-10-01 08:30:00,115089.82,115700.0,115089.82,115635.37,807.53448
2025-10-01 08:45:00,115635.37,116591.8,115490.6,116111.28,1285.95842
